Rooms,Price,Area,Location
2,185000,104.7,Aveiro
2,149000,86.0,Porto
2,219000,90.0,Aveiro
4,995000,168.17,Porto
2,610000,198.39,Porto
1,125000,44.34,Porto
3,235000,95.0,Porto
3,207000,84.0,Setúbal
3,295000,154.0,Lisboa
3,595000,147.5,Aveiro
2,380000,77.45,Aveiro
2,395000,88.97,Aveiro
1,199000,87.28,Faro
2,535000,97.82,Porto
4,350000,151.0,Porto
3,239000,108.0,Porto
2,134900,55.0,Setúbal
2,199000,63.08,Porto
1,158500,41.37,Porto
1,205000,63.52,Porto
3,325000,102.68,Porto
2,374000,91.2,Porto
1,220000,55.0,Faro
3,320000,137.5,Setúbal
1,135000,67.0,Porto
2,175000,123.0,Aveiro
3,265000,123.0,Aveiro
3,195000,123.0,Aveiro
2,195000,78.0,Porto
1,130000,50.0,Aveiro
3,972400,146.0,Faro
3,806500,133.31,Faro
3,929500,151.91,Faro
4,1845000,298.1,Faro
3,199000,145.5,Braga
1,449000,66.0,Lisboa
3,300000,102.0,Lisboa
1,645000,43.42,Lisboa
2,175000,85.0,Porto
1,145000,75.0,Porto
3,178900,112.5,Setúbal
2,185000,85.0,Coimbra
4,650000,182.9,Lisboa
2,335000,171.5,Lisboa
2,193000,98.0,Porto
2,370000,131.0,Lisboa
3,470000,125.0,Porto
2,297000,112.0,Porto
3,245000,144.0,Porto
2,505000,97.82,Porto
1,240000,52.0,Porto
3,450000,129.0,Porto
2,180000,71.0,Porto
1,135000,46.0,Faro
1,138900,62.4,Porto
3,187500,106.0,Setúbal
3,249500,92.0,Coimbra
4,1400000,170.0,Lisboa
3,350000,124.0,Coimbra
4,353457720,230.76,Lisboa
3,262021980,172.61,Lisboa
2,2242891,141.83,Lisboa
3,765000,137.22,Lisboa
2,580000,100.18,Lisboa
2,290000,85.42,Porto
2,185900,86.95,Porto
2,184900,86.95,Porto
2,183900,86.95,Porto
2,192900,88.3,Porto
3,278000,122.5,Braga
3,235000,141.0,Aveiro
2,191900,88.3,Porto
2,189900,96.2,Porto
3,320000,103.0,Porto
1,240000,73.0,Porto
3,180000,84.0,Faro
2,205000,110.0,Setúbal
4,392000,170.0,Porto
3,192500,135.0,Aveiro
2,169500,90.0,Leiria
3,315000,125.0,Coimbra
3,270000,119.0,Faro
4,350000,98.0,Lisboa
3,215000,153.0,Porto
3,150000,136.0,Santarém
2,195000,75.0,Lisboa
2,135500,80.8,Porto
3,315000,142.0,Porto
2,285000,188.0,Porto
1,235000,111.0,Porto
3,290900,100.0,Porto
3,338000,117.0,Aveiro
1,170000,42.5,Aveiro
2,224000,68.5,Aveiro
2,195000,93.04,Aveiro
1,147000,47.94,Aveiro
1,150000,47.94,Aveiro
3,650000,130.6,Aveiro
0,329000,85.75,Aveiro
3,445000,119.0,Aveiro
2,390000,98.5,Aveiro
2,149000,89.0,Porto
1,257500,45.82,Aveiro
3,325000,145.0,Setúbal
2,225000,80.4,Braga
3,625000,140.0,Lisboa
2,430000,92.97,Faro
2,830000,160.0,Lisboa
3,190000,95.7,Faro
3,187500,90.0,Coimbra
3,102500,140.0,Coimbra
2,307900,96.0,Porto
2,310900,96.0,Porto
2,308900,96.0,Porto
2,219900,85.0,Porto
2,169900,83.5,Porto
2,183900,86.95,Porto
3,299000,113.26,Faro
3,1695000,205.0,Lisboa
4,300000,115.0,Setúbal
1,179000,70.0,Porto
3,290000,118.0,Porto
2,178000,90.0,Porto
3,126000,100.0,Apartamento para comprar: Castelo Branco
2,418000,91.2,Porto
2,892500,113.0,Lisboa
2,300000,75.0,Faro
2,365000,99.22,Faro
1,260000,61.0,Faro
4,1415000,218.0,Faro
2,325000,105.64,Viana do Castelo
2,362500,99.22,Faro
3,792000,157.3,Porto
3,1470000,179.0,Lisboa
2,315000,100.0,Faro
1,671000,63.7,Lisboa
2,162500,80.0,Porto
3,660000,125.0,Aveiro
2,335000,104.0,Aveiro
2,310000,95.0,Aveiro
2,310000,96.0,Aveiro
2,315000,99.0,Aveiro
3,780000,125.0,Aveiro
2,280000,83.0,Aveiro
1,240000,61.0,Aveiro
1,220000,61.0,Aveiro
3,478000,164.0,Aveiro
2,355000,99.0,Aveiro
2,310000,89.0,Aveiro
1,220000,56.0,Aveiro
1,195000,56.0,Aveiro
1,240000,67.0,Aveiro
2,290000,83.0,Aveiro
3,525000,180.0,Aveiro
2,300000,89.0,Aveiro
3,445000,154.0,Aveiro
2,388600,134.0,Aveiro
2,150000,94.5,Coimbra
2,649000,118.0,Lisboa
2,232500,99.85,Porto
4,215000,202.0,Castelo Branco
0,260000,42.75,Porto
2,345000,104.0,Porto
3,860000,155.0,Lisboa
3,1050000,145.0,Lisboa
3,1370000,192.0,Lisboa
3,380000,120.0,Setúbal
1,188500,41.0,Porto
3,600000,125.0,Lisboa
2,800000,77.0,Lisboa
2,3800000,195.0,Lisboa
2,1200000,109.0,Lisboa
3,369000,87.0,Lisboa
4,520000,120.0,Lisboa
1,675000,67.0,Lisboa
4,615000,120.0,Lisboa
3,650000,164.0,Lisboa
3,1160000,175.0,Lisboa
3,850000,140.0,Lisboa
1,179000,43.0,Faro
2,595000,100.1,Porto
3,410000,115.0,Aveiro
2,219900,85.0,Porto
2,155900,120.0,Braga
2,185900,86.95,Porto
3,250000,110.34,Santarém
2,187900,88.1,Porto
2,174900,65.0,Setúbal
3,346000,135.6,Aveiro
3,346000,135.6,Aveiro
4,260000,118.0,Aveiro
1,155990,59.0,Aveiro
1,153990,59.0,Aveiro
4,220000,128.0,Braga
1,264900,75.0,Faro
3,239000,109.0,Setúbal
1,265000,66.13,Faro
3,395000,126.48,Faro
4,390000,156.0,Faro
1,255000,66.56,Faro
3,347500,128.9,Porto
2,225000,86.0,Porto
3,385000,127.35,Faro
3,395000,121.0,Faro
3,340000,106.0,Faro
2,215000,93.0,Santarém
3,167500,100.0,Santarém
4,895000,164.0,Lisboa
3,219500,120.0,Porto
1,138000,55.0,Setúbal
1,270000,39.0,Lisboa
2,790000,80.45,Lisboa
2,224990,83.0,Aveiro
2,223990,83.0,Aveiro
3,339990,149.0,Aveiro
1,176990,59.0,Aveiro
2,205000,104.0,Porto
3,365000,158.3,Porto
4,385000,159.2,Porto
3,750000,113.0,Lisboa
2,336500,124.0,Faro
5,875000,225.0,Porto
2,136000,63.0,Braga
2,350000,120.0,Coimbra
3,420000,124.0,Faro
3,150000,107.0,Coimbra
2,197500,67.0,Coimbra
2,280000,77.4,Faro
2,260000,65.99,Faro
0,194900,56.0,Porto
2,320000,111.9,Faro
2,299000,97.0,Lisboa
2,280000,77.5,Faro
2,434600,100.28,Faro
3,435000,118.0,Lisboa
3,187500,148.0,Braga
5,325000,141.6,Lisboa
2,385000,96.0,Porto
2,261000,91.9,Faro
2,345000,64.0,Lisboa
2,235000,97.0,Porto
0,140000,25.0,Porto
4,910000,157.0,Porto
2,198000,90.0,Braga
3,274000,175.0,Leiria
1,209000,62.0,Porto
2,260000,75.0,Lisboa
2,189000,107.0,Braga
3,380000,140.0,Porto
3,465000,116.0,Lisboa
5,240000,137.0,Coimbra
1,230000,52.7,Porto
2,325000,83.0,Porto
2,370000,90.0,Porto
2,140000,82.0,Coimbra
2,375000,106.0,Porto
1,235010,47.53,Porto
2,320010,87.6,Porto
2,245000,105.0,Lisboa
3,175000,113.0,Coimbra
2,285000,76.76,Porto
3,199600,105.0,Porto
1,225010,60.0,Porto
