,Rooms,Price,Area,Location,Price_m2,Price_m2_cat
2455,3,425000,139.2,Lisboa,3053,0
2639,3,160000,77.0,Setúbal,2077,0
13889,3,229000,106.0,Setúbal,2160,0
10187,2,399750,99.9,Faro,4001,0
2387,3,370000,121.8,Faro,3037,0
15627,3,215000,73.0,Lisboa,2945,0
15452,4,324500,175.0,Porto,1854,0
1867,3,380000,120.0,Porto,3166,0
11124,2,382500,131.0,Porto,2919,0
2143,1,145000,53.0,Lisboa,2735,0
11484,3,745000,90.0,Lisboa,8277,0
9898,2,281360,103.0,Faro,2731,0
11908,3,425000,98.1,Lisboa,4332,0
4714,2,150000,100.0,Braga,1500,0
15977,3,438952,118.62,Aveiro,3700,0
2794,4,459000,193.0,Porto,2378,0
1831,2,350000,116.0,Faro,3017,0
11831,2,179900,95.0,Porto,1893,0
14529,2,305000,96.0,Porto,3177,0
9693,3,915000,155.14,Porto,5897,0
110,3,102500,140.0,Coimbra,732,0
3947,3,485000,124.0,Porto,3911,0
947,2,315000,101.5,Lisboa,3103,0
13041,1,265000,50.0,Lisboa,5300,0
766,2,240000,91.2,Porto,2631,0
5783,2,245000,59.0,Lisboa,4152,0
14439,2,195000,60.0,Lisboa,3250,0
6750,2,176000,99.0,Aveiro,1777,0
7833,1,310000,41.8,Porto,7416,0
208,3,219500,120.0,Porto,1829,0
6781,4,265000,136.0,Porto,1948,0
8067,2,147000,44.0,Setúbal,3340,0
7381,4,850000,223.0,Porto,3811,0
14523,3,299250,140.0,Braga,2137,0
2155,3,575000,123.0,Faro,4674,0
3455,3,432600,145.0,Porto,2983,0
13101,3,740000,120.0,Porto,6166,0
5760,1,159000,60.0,Leiria,2650,0
922,1,280000,61.0,Lisboa,4590,0
5242,2,388000,107.0,Setúbal,3626,0
14260,4,555000,117.0,Porto,4743,0
6872,3,397500,108.35,Porto,3668,0
908,3,199000,80.0,Lisboa,2487,0
3430,2,325000,80.0,Porto,4062,0
9608,1,470000,69.1,Lisboa,6801,0
11565,2,495000,76.0,Leiria,6513,0
11704,2,355000,83.0,Porto,4277,0
967,0,189000,45.0,Faro,4200,0
6303,3,665900,148.24,Porto,4492,0
6347,2,640000,89.0,Porto,7191,0
8636,3,1340000,157.01,Faro,8534,0
3249,4,555000,159.0,Porto,3490,0
15774,2,210000,93.04,Aveiro,2257,0
4953,3,270000,110.0,Lisboa,2454,0
1190,2,165000,95.0,Setúbal,1736,0
4269,2,279000,97.1,Aveiro,2873,0
10298,2,600000,92.0,Porto,6521,0
50,1,240000,52.0,Porto,4615,0
12259,4,1390000,183.51,Lisboa,7574,0
10163,4,399000,120.0,Lisboa,3325,0
6753,3,249000,85.0,Porto,2929,0
10474,2,530000,129.0,Porto,4108,0
10129,2,815000,147.87,Lisboa,5511,0
8648,2,685000,132.3,Faro,5177,0
16123,1,310000,61.6,Ilha da Madeira,5032,0
7403,3,1790000,218.4,Lisboa,8195,0
2827,3,374000,124.0,Lisboa,3016,0
1932,2,191000,92.0,Porto,2076,0
5695,2,165000,86.0,Porto,1918,0
1348,3,445000,135.84,Lisboa,3275,0
6672,2,248000,78.0,Setúbal,3179,0
15130,2,905000,97.0,Lisboa,9329,0
620,2,179900,66.56,Lisboa,2702,0
2867,2,347000,88.0,Setúbal,3943,0
12007,1,199950,87.0,Faro,2298,0
15450,4,420000,160.0,Lisboa,2625,0
5747,3,2798036,181.22,Lisboa,15440,0
4373,0,189000,34.0,Aveiro,5558,0
6562,3,230000,132.0,Porto,1742,0
3794,2,169500,76.0,Porto,2230,0
6425,2,310000,70.0,Porto,4428,0
2415,2,230000,82.0,Porto,2804,0
10668,2,205000,109.4,Porto,1873,0
10598,2,490000,135.0,Faro,3629,0
5928,3,1500000,205.0,Lisboa,7317,0
2336,4,1490000,192.0,Lisboa,7760,0
2285,3,650000,114.0,Porto,5701,0
127,2,365000,99.22,Faro,3678,0
11790,3,269000,117.0,Viana do Castelo,2299,0
2297,2,599000,78.0,Lisboa,7679,0
11110,4,102000,103.0,Santarém,990,0
1003,3,249000,115.0,Lisboa,2165,0
9411,1,350000,71.25,Faro,4912,0
511,2,220000,62.0,Lisboa,3548,0
7317,3,299000,146.0,Porto,2047,0
5675,3,290000,104.0,Santarém,2788,0
739,2,310000,93.7,Faro,3308,0
13710,2,300000,79.0,Setúbal,3797,0
3628,2,159900,96.0,Braga,1665,0
2135,3,370000,130.0,Lisboa,2846,0
15279,1,221500,61.01,Braga,3630,0
7135,0,391387,45.66,Setúbal,8571,0
13415,1,229000,59.75,Setúbal,3832,0
5366,2,387000,96.0,Porto,4031,0
9675,2,750000,100.0,Porto,7500,0
2599,2,167500,87.0,Porto,1925,0
6517,6,3400000,421.0,Lisboa,8076,0
15127,2,918000,102.0,Lisboa,9000,0
12313,2,225000,79.0,Setúbal,2848,0
7091,2,460000,87.12,Porto,5280,0
6548,2,290000,75.35,Aveiro,3848,0
402,3,460000,134.0,Lisboa,3432,0
16117,1,300000,61.6,Ilha da Madeira,4870,0
13635,2,370000,118.0,Porto,3135,0
6065,0,190000,30.0,Porto,6333,0
13978,1,275000,53.0,Porto,5188,0
8206,2,845000,99.0,Lisboa,8535,0
15490,4,970000,233.91,Faro,4146,0
12352,1,197000,50.0,Porto,3940,0
13064,2,295428,103.0,Faro,2868,0
3666,3,350000,146.78,Lisboa,2384,0
8429,2,299000,105.0,Porto,2847,0
1013,3,159500,115.0,Leiria,1386,0
11854,1,325000,45.69,Setúbal,7113,0
14761,3,145000,109.57,Apartamento para comprar: Castelo Branco,1323,0
