Rooms,Price,Area,Location,Price_m2
3,190000,146.0,Braga,1301.37
4,395000,169.0,Setúbal,2337.28
4,753000,158.49,Setúbal,4751.09
2,265000,110.0,Braga,2409.09
2,880000,99.0,Lisboa,8888.89
3,810000,136.0,Lisboa,5955.88
1,260000,63.0,Porto,4126.98
3,220000,116.0,Braga,1896.55
1,95000,62.5,Portalegre,1520.0
1,360100,71.0,Porto,5071.83
2,475000,120.0,Setúbal,3958.33
3,259500,107.0,Porto,2425.23
3,1490000,142.0,Lisboa,10492.96
2,127000,120.27,Coimbra,1055.96
3,505000,142.19,Setúbal,3551.59
3,310000,132.0,Porto,2348.48
2,260000,95.0,Viana do Castelo,2736.84
4,390000,156.0,Faro,2500.0
2,320000,68.6,Porto,4664.72
5,4500000,341.55,Lisboa,13175.23
3,508000,125.45,Setúbal,4049.42
1,245500,45.0,Aveiro,5455.56
1,480000,128.07,Évora,3747.95
2,675000,104.0,Setúbal,6490.38
1,420000,69.5,Lisboa,6043.17
1,295000,48.1,Faro,6133.06
2,465500,115.0,Porto,4047.83
1,180000,72.0,Aveiro,2500.0
2,399000,80.0,Lisboa,4987.5
2,271148,62.0,Setúbal,4373.35
1,185000,41.5,Aveiro,4457.83
1,670000,134.96,Lisboa,4964.43
3,370000,186.0,Faro,1989.25
2,285000,81.0,Faro,3518.52
2,175000,69.0,Porto,2536.23
3,198000,114.77,Setúbal,1725.19
2,195000,49.0,Porto,3979.59
1,215000,58.0,Porto,3706.9
3,210000,110.0,Leiria,1909.09
2,250000,68.3,Faro,3660.32
1,336175,70.1,Braga,4795.65
2,190000,79.0,Faro,2405.06
4,640000,212.95,Faro,3005.4
3,350000,110.32,Faro,3172.59
2,229000,90.0,Porto,2544.44
2,445000,122.33,Porto,3637.7
3,556096,124.0,Porto,4484.65
2,295000,72.0,Faro,4097.22
3,600000,145.0,Aveiro,4137.93
2,298000,83.0,Porto,3590.36
2,193000,63.0,Lisboa,3063.49
2,220000,100.0,Porto,2200.0
2,595000,118.0,Lisboa,5042.37
2,369000,93.6,Setúbal,3942.31
3,285000,147.0,Setúbal,1938.78
2,290000,95.0,Setúbal,3052.63
2,134900,55.0,Setúbal,2452.73
6,1150000,312.0,Lisboa,3685.9
2,209750,66.0,Setúbal,3178.03
4,1085700,138.9,Lisboa,7816.41
3,295000,177.0,Porto,1666.67
2,390000,122.85,Faro,3174.6
3,1190000,149.0,Lisboa,7986.58
0,200000,38.0,Porto,5263.16
3,705000,136.0,Porto,5183.82
4,589000,148.0,Coimbra,3979.73
2,225000,83.0,Porto,2710.84
3,370000,110.0,Aveiro,3363.64
4,950000,158.99,Porto,5975.22
4,2474027,326.0,Porto,7589.04
2,905000,97.34,Lisboa,9297.31
3,380000,120.0,Porto,3166.67
3,655000,126.2,Lisboa,5190.17
3,225000,83.0,Lisboa,2710.84
3,226000,116.2,Braga,1944.92
3,750000,170.0,Aveiro,4411.76
4,899000,134.95,Lisboa,6661.73
2,420000,79.6,Faro,5276.38
2,165000,84.0,Setúbal,1964.29
3,355000,145.0,Setúbal,2448.28
4,898200,205.32,Porto,4374.63
3,225000,145.0,Braga,1551.72
2,927000,140.0,Lisboa,6621.43
2,270000,79.0,Porto,3417.72
3,1220000,105.05,Lisboa,11613.52
3,490000,87.46,Faro,5602.56
2,180000,71.0,Porto,2535.21
3,750000,142.2,Porto,5274.26
2,370000,110.0,Lisboa,3363.64
2,560000,100.0,Lisboa,5600.0
3,260000,127.0,Porto,2047.24
2,395000,108.0,Porto,3657.41
2,2639736,182.0,Lisboa,14504.04
0,395000,58.9,Porto,6706.28
3,235000,90.6,Porto,2593.82
4,817100,165.0,Porto,4952.12
2,365000,85.0,Lisboa,4294.12
3,350000,207.0,Lisboa,1690.82
2,445000,88.0,Porto,5056.82
4,495000,166.0,Setúbal,2981.93
3,600000,130.0,Lisboa,4615.38
1,737620,105.51,Lisboa,6991.0
2,258000,81.0,Aveiro,3185.19
3,394000,101.7,Lisboa,3874.14
2,440000,122.0,Porto,3606.56
2,290000,51.0,Lisboa,5686.27
1,295000,40.0,Lisboa,7375.0
2,980000,135.0,Lisboa,7259.26
3,445000,78.0,Lisboa,5705.13
3,615000,100.0,Lisboa,6150.0
2,424000,100.48,Faro,4219.75
3,282500,182.0,Porto,1552.2
2,1100000,99.43,Lisboa,11063.06
2,279800,132.0,Lisboa,2119.7
3,450000,120.0,Aveiro,3750.0
2,420000,88.12,Porto,4766.23
3,365000,165.0,Porto,2212.12
2,250000,72.05,Lisboa,3469.81
0,157500,58.0,Porto,2715.52
2,156000,93.0,Aveiro,1677.42
2,640000,124.7,Lisboa,5132.32
2,220000,89.0,Porto,2471.91
3,255000,120.0,Coimbra,2125.0
2,249000,80.0,Porto,3112.5
3,375000,127.0,Porto,2952.76
3,1695000,164.0,Lisboa,10335.37
3,298000,162.0,Porto,1839.51
3,650000,123.82,Lisboa,5249.56
3,645000,93.92,Lisboa,6867.55
2,250000,76.0,Porto,3289.47
2,225000,69.9,Setúbal,3218.88
2,288000,75.0,Lisboa,3840.0
2,199900,74.2,Porto,2694.07
2,2639736,181.8,Lisboa,14520.0
3,278000,96.0,Porto,2895.83
1,243000,57.0,Setúbal,4263.16
1,430000,132.16,Setúbal,3253.63
3,895000,169.0,Lisboa,5295.86
4,740000,165.4,Porto,4474.0
4,432000,178.0,Braga,2426.97
2,330000,98.0,Faro,3367.35
3,920000,174.0,Ilha da Madeira,5287.36
3,198000,97.0,Porto,2041.24
2,410000,85.0,Porto,4823.53
2,447500,62.0,Faro,7217.74
0,144000,24.8,Porto,5806.45
1,225000,35.02,Leiria,6424.9
3,410000,132.0,Ilha da Madeira,3106.06
2,449820,69.63,Lisboa,6460.15
3,325000,126.0,Lisboa,2579.37
3,255000,96.0,Lisboa,2656.25
1,117500,42.5,Lisboa,2764.71
2,225000,100.0,Porto,2250.0
3,424900,145.3,Porto,2924.29
1,230000,60.63,Porto,3793.5
2,425000,79.0,Porto,5379.75
1,170000,79.1,Porto,2149.18
3,580000,114.0,Faro,5087.72
2,197500,64.0,Setúbal,3085.94
3,540000,139.0,Porto,3884.89
2,1020000,107.0,Lisboa,9532.71
3,370000,100.0,Setúbal,3700.0
3,250000,115.0,Porto,2173.91
4,1500000,287.5,Porto,5217.39
3,330000,89.8,Viana do Castelo,3674.83
1,378000,69.0,Porto,5478.26
3,300000,135.35,Faro,2216.48
3,400000,136.0,Porto,2941.18
5,160000,135.0,Apartamento para comprar: Castelo Branco,1185.19
